"SOLVEID","TRANSACTIONID","CLOSEID","ORGID","ORGNAME"
"10000002","EN20130411520","100001","203","远信科技"
"10000002","EN20130411521","100001","203","远信科技"
"10000002","EN20130411522","100001","203","远信科技"
"10000002","EN20130411523","100001","209","信息中心"
"10000002","EN20130411524","100001","12","云电同方"
"10000002","EN20130411525","100001","202","昆明能讯"
"10000002","EN20130411526","100001","12","云电同方"
"10000002","EN20130411527","100001","202","昆明能讯"
"10000002","EN20130411528","100001","12","云电同方"
"10000002","EN20130411529","100001","202","昆明能讯"
"10000002","EN20130411530","100001","203","远信科技"
"10000002","EN20130411531","100001","203","远信科技"
"10000002","EN20130411532","100001","203","远信科技"
"10000003","EN20130411533","100003","23","曲靖供电局"
"10000002","EN20130411534","100001","202","昆明能讯"
"10000002","EN20130411535","100001","209","信息中心"
"10000002","EN20130411536","100001","203","远信科技"
"10000002","EN20130411537","100001","12","云电同方"
"10000002","EN20130411538","100001","203","远信科技"
"10000002","EN20130411539","100001","203","远信科技"
"10000002","EN20130411540","100001","202","昆明能讯"
"10000002","EN20130411541","100001","209","信息中心"
"10000002","EN20130411542","100001","202","昆明能讯"
"10000004","EN20130411543","100005","21","红河供电局"
"10000002","EN20130411544","100001","202","昆明能讯"
"10000002","EN20130411545","100001","203","远信科技"
"10000003","EN20130411546","100003","121861","迪庆供电局"
"10000002","EN20130411547","100001","12","云电同方"
"10000002","EN20130411548","100001","12","云电同方"
"10000002","EN20130411549","100001","203","远信科技"
"10000002","EN20130411550","100001","203","远信科技"
"10000002","EN20130411551","100001","12","云电同方"
"10000002","EN20130411552","100001","203","远信科技"
"10000002","EN20130411553","100001","18","玉溪供电局"
"10000003","EN20130411554","100001","121859","丽江供电局"
"10000002","EN20130411555","100001","12","云电同方"
"10000002","EN20130411556","100001","203","远信科技"
"10000002","EN20130411557","100001","203","远信科技"
"10000002","EN20130411558","100001","203","远信科技"
"10000004","EN20130411559","100003","202","昆明能讯"
"10000002","EN20130411560","100001","202","昆明能讯"
"10000002","EN20130411561","100001","202","昆明能讯"
"10000002","EN20130411562","100001","202","昆明能讯"
"10000002","EN20130411563","100001","202","昆明能讯"
"10000002","EN20130411564","100001","203","远信科技"
"10000002","EN20130411565","100001","12","云电同方"
"10000002","EN20130411566","100001","203","远信科技"
"10000002","EN20130411567","100001","202","昆明能讯"
"10000002","EN20130411568","100001","209","信息中心"
"10000002","EN20130411569","100001","209","信息中心"
"10000003","EN20130411570","100003","12","云电同方"
"10000003","EN20130411571","100003","19","楚雄供电局"
"10000002","EN20130411572","100001","12","云电同方"
"10000003","EN20130411573","100001","202","昆明能讯"
"10000002","EN20130411574","100001","21","红河供电局"
"10000002","EN20130411575","100001","12","云电同方"
"10000002","EN20130411576","100001","203","远信科技"
"10000002","EN20130411577","100001","209","信息中心"
"10000002","EN20130411578","100001","202","昆明能讯"
"10000003","EN20130411579","100001","121859","丽江供电局"
"10000002","EN20130411580","100001","209","信息中心"
"10000002","EN20130411581","100001","202","昆明能讯"
"10000002","EN20130411582","100001","12","云电同方"
"10000003","EN20130411583","100003","12","云电同方"
"10000002","EN20130411584","100001","203","远信科技"
"10000002","EN20130411585","100001","209","信息中心"
"10000002","EN20130411586","100001","12","云电同方"
"10000002","EN20130411587","100001","203","远信科技"
"10000002","EN20130411588","100001","203","远信科技"
"10000002","EN20130411589","100001","202","昆明能讯"
"10000002","EN20130411590","100001","203","远信科技"
"10000002","EN20130411591","100001","400","昭通供电局"
"10000002","EN20130411592","100001","203","远信科技"
"10000003","EN20130411593","100001","202","昆明能讯"
"10000002","EN20130411594","100001","203","远信科技"
"10000002","EN20130411595","100001","203","远信科技"
"10000002","EN20130411596","100001","18","玉溪供电局"
"10000003","EN20130411597","100003","21","红河供电局"
"10000002","EN20130411598","100001","203","远信科技"
"10000002","EN20130411599","100001","202","昆明能讯"
"10000002","EN20130411600","100001","202","昆明能讯"
"10000002","EN20130411601","100001","203","远信科技"
"10000003","EN20130411602","100003","21","红河供电局"
"10000002","EN20130411603","100001","12","云电同方"
"10000002","EN20130411604","100001","202","昆明能讯"
"10000002","EN20130411605","100001","203","远信科技"
"10000002","EN20130411606","100001","203","远信科技"
"10000002","EN20130411607","100001","203","远信科技"
"10000002","EN20130411608","100001","12","云电同方"
"10000002","EN20130411609","100001","12","云电同方"
"10000002","EN20130411610","100001","80943","昆明供电局"
"10000003","EN20130411611","100003","12","云电同方"
"10000002","EN20130411612","100001","202","昆明能讯"
"10000002","EN20130411613","100001","203","远信科技"
"10000002","EN20130411614","100001","12","云电同方"
"10000002","EN20130411615","100003","203","远信科技"
"10000002","EN20130411616","100001","202","昆明能讯"
"10000002","EN20130411617","100001","12","云电同方"
"10000002","EN20130411618","100001","202","昆明能讯"
"10000002","EN20130411619","100001","12","云电同方"
"10000002","EN20130411620","100001","202","昆明能讯"
"10000002","EN20130411621","100001","203","远信科技"
"10000002","EN20130411622","100001","12","云电同方"
"10000002","EN20130411623","100001","12","云电同方"
"10000002","EN20130411624","100001","203","远信科技"
"10000002","EN20130411625","100001","12","云电同方"
"10000002","EN20130411626","100001","12","云电同方"
"10000002","EN20130411627","100001","202","昆明能讯"
"10000002","EN20130411628","100001","12","云电同方"
"10000002","EN20130411629","100001","12","云电同方"
"10000002","EN20130411630","100001","202","昆明能讯"
"10000002","EN20130411631","100001","202","昆明能讯"
"10000002","EN20130411632","100001","202","昆明能讯"
"10000002","EN20130411633","100001","202","昆明能讯"
"10000002","EN20130411634","100001","202","昆明能讯"
"10000004","EN20130411635","100005","202","昆明能讯"
"10000002","EN20130411636","100001","203","远信科技"
"10000003","EN20130411637","100003","12","云电同方"
"10000002","EN20130411638","100001","209","信息中心"
"10000003","EN20130411638","100001","209","信息中心"
"10000002","EN20130411639","100001","209","信息中心"
"10000002","EN20130411640","100001","202","昆明能讯"
"10000002","EN20130411641","100001","12","云电同方"
"10000002","EN20130411642","100001","12","云电同方"
"10000002","EN20130411643","100001","202","昆明能讯"
"10000002","EN20130412001","100001","203","远信科技"
"10000002","EN20130412002","100001","202","昆明能讯"
"10000002","EN20130412003","100001","17","普洱供电局"
"10000002","EN20130412004","100001","203","远信科技"
"10000003","EN20130412005","100003","19","楚雄供电局"
"10000003","EN20130412006","100001","209","信息中心"
"10000003","EN20130412007","100003","19","楚雄供电局"
"10000002","EN20130412008","100001","202","昆明能讯"
"10000003","EN20130412009","100003","19","楚雄供电局"
"10000002","EN20130412010","100001","202","昆明能讯"
"10000003","EN20130412011","100001","121859","丽江供电局"
"10000002","EN20130412012","100001","203","远信科技"
"10000002","EN20130412013","100001","202","昆明能讯"
"10000002","EN20130412014","100001","203","远信科技"
"10000003","EN20130412015","100003","19","楚雄供电局"
"10000002","EN20130412016","100001","203","远信科技"
"10000002","EN20130412017","100001","12","云电同方"
"10000002","EN20130412018","100001","203","远信科技"
"10000003","EN20130412019","100001","209","信息中心"
"10000002","EN20130412020","100001","17","普洱供电局"
"10000003","EN20130412021","100003","19","楚雄供电局"
"10000002","EN20130412022","100001","80943","昆明供电局"
"10000002","EN20130412023","100001","12","云电同方"
"10000003","EN20130412024","100003","202","昆明能讯"
"10000002","EN20130412025","100001","12","云电同方"
"10000003","EN20130412026","100003","19","楚雄供电局"
"10000002","EN20130412027","100001","203","远信科技"
"10000002","EN20130412028","100001","209","信息中心"
"10000002","EN20130412029","100001","203","远信科技"
"10000003","EN20130412030","100001","209","信息中心"
"10000002","EN20130412031","100001","12","云电同方"
"10000002","EN20130412032","100001","400","昭通供电局"
"10000002","EN20130412033","100001","12","云电同方"
"10000002","EN20130412034","100001","209","信息中心"
"10000002","EN20130412035","100001","202","昆明能讯"
"10000002","EN20130412036","100001","209","信息中心"
"10000002","EN20130412037","100001","12","云电同方"
"10000002","EN20130412038","100001","203","远信科技"
"10000002","EN20130412039","100001","12","云电同方"
"10000002","EN20130412040","100001","12","云电同方"
"10000002","EN20130412041","100001","12","云电同方"
"10000002","EN20130412042","100001","12","云电同方"
"10000002","EN20130412043","100001","203","远信科技"
"10000002","EN20130412044","100001","12","云电同方"
"10000002","EN20130412045","100001","400","昭通供电局"
"10000002","EN20130412046","100001","12","云电同方"
"10000003","EN20130412047","100001","209","信息中心"
"10000002","EN20130412048","100001","12","云电同方"
"10000002","EN20130412049","100001","209","信息中心"
"10000002","EN20130412050","100001","400","昭通供电局"
"10000003","EN20130412051","100003","12","云电同方"
"10000002","EN20130412052","100001","203","远信科技"
"10000003","EN20130412053","100003","209","信息中心"
"10000002","EN20130412054","100001","12","云电同方"
"10000002","EN20130412055","100001","203","远信科技"
"10000002","EN20130412056","100001","12","云电同方"
"10000004","EN20130412057","100005","21","红河供电局"
"10000002","EN20130412058","100001","22","大理供电局"
"10000002","EN20130412059","100001","12","云电同方"
"10000003","EN20130412060","100003","23","曲靖供电局"
"10000002","EN20130412061","100001","203","远信科技"
"10000002","EN20130412062","100001","202","昆明能讯"
"10000003","EN20130412063","100003","23","曲靖供电局"
"10000002","EN20130412064","100001","202","昆明能讯"
"10000002","EN20130412065","100001","203","远信科技"
"10000002","EN20130412066","100001","203","远信科技"
