"   ","SOLVEID","TRANSACTIONID","CLOSEID"
"466","10000003","EN20130104327","100003"
"467","10000003","EN20130104328","100001"
"468","10000002","EN20130104329","100001"
"469","10000002","EN20130104330","100003"
"470","10000003","EN20130104331","100001"
"471","10000002","EN20130104333","100001"
"472","10000002","EN20130104334","100003"
"473","10000002","EN20130104335","100001"
"474","10000003","EN20130104336","100001"
"475","10000003","EN20130104337","100003"
"476","10000003","EN20130104338","100001"
"477","10000003","EN20130104339","100003"
"478","10000003","EN20130104340","100001"
"479","10000003","EN20130104341","100003"
"480","10000002","EN20130104342","100001"
"481","10000002","EN20130104343","100001"
"482","10000002","EN20130104344","100003"
"483","10000002","EN20130104345","100001"
"484","10000002","EN20130104346","100001"
"485","10000002","EN20130104347","100001"
"486","10000002","EN20130104348","100001"
"487","10000002","EN20130104349","100001"
"488","10000002","EN20130104350","100001"
"489","10000002","EN20130104351","100001"
"490","10000002","EN20130104352","100001"
"491","10000002","EN20130104353","100001"
"492","10000002","EN20130104354","100001"
"493","10000002","EN20130104355","100001"
"494","10000003","EN20130104356","100001"
"495","10000003","EN20130104357","100003"
"496","10000002","EN20130104358","100001"
"497","10000002","EN20130104360","100001"
"498","10000002","EN20130104361","100001"
"499","10000002","EN20130104362","100001"
"500","10000002","EN20130104363","100001"
"501","10000002","EN20130104364","100001"
"502","10000002","EN20130104365","100003"
"503","10000002","EN20130104366","100001"
"504","10000002","EN20130104367","100003"
"505","10000002","EN20130104368","100001"
"506","10000004","EN20130104369","100003"
"507","10000002","EN20130104370","100001"
"508","10000002","EN20130104371","100001"
"509","10000002","EN20130104372","100001"
"510","10000002","EN20130104373","100001"
"511","10000003","EN20130104374","100003"
"512","10000003","EN20130104375","100005"
"513","10000003","EN20130104376","100003"
"514","10000003","EN20130104377","100003"
"515","10000003","EN20130104378","100003"
"516","10000002","EN20130104379","100001"
"517","10000003","EN20130104380","100003"
"518","10000003","EN20130104381","100001"
"519","10000004","EN20130104382","100005"
"520","10000002","EN20130104383","100001"
"521","10000003","EN20130104384","100003"
"522","10000003","EN20130104385","100003"
"523","10000002","EN20130104386","100001"
"524","10000002","EN20130104387","100001"
"525","10000003","EN20130104388","100003"
"526","10000002","EN20130104389","100001"
"527","10000002","EN20130104390","100001"
"528","10000002","EN20130104391","100003"
"529","10000002","EN20130104392","100003"
"530","10000003","EN20130104393","100003"
"531","10000003","EN20130104394","100003"
"532","10000002","EN20130104395","100001"
"533","10000002","EN20130104396","100001"
"534","10000002","EN20130104397","100001"
"535","10000002","EN20130104398","100001"
"536","10000002","EN20130104399","100001"
"537","10000002","EN20130104400","100001"
"538","10000003","EN20130104401","100003"
"539","10000002","EN20130104402","100001"
"540","10000002","EN20130104403","100001"
"541","10000003","EN20130104404","100001"
"542","10000003","EN20130104405","100003"
"543","10000002","EN20130104406","100003"
"544","10000003","EN20130104407","100003"
"545","10000002","EN20130104408","100001"
"546","10000002","EN20130104409","100001"
"547","10000002","EN20130104410","100001"
"548","10000003","EN20130104411","100003"
"549","10000003","EN20130104412","100001"
"550","10000003","EN20130104413","100003"
"551","10000002","EN20130104414","100001"
"552","10000002","EN20130104415","100001"
"553","10000003","EN20130104416","100003"
"554","10000003","EN20130104417","100003"
"555","10000002","EN20130104418","100001"
"556","10000003","EN20130104419","100003"
"557","10000002","EN20130104420","100001"
"558","10000002","EN20130104421","100003"
"559","10000003","EN20130104422","100001"
"560","10000002","EN20130104423","100003"
"561","10000002","EN20130104424","100001"
"562","10000002","EN20130104425","100001"
"563","10000002","EN20130104426","100001"
"564","10000003","EN20130104427","100003"
"565","10000002","EN20130104428","100001"
"566","10000002","EN20130104429","100001"
"567","10000002","EN20130104430","100001"
