"SOLVEID","TRANSACTIONID","CLOSEID","ORGID","ORGNAME"
"10000002","EN20121106229","100001","203","远信科技"
"10000003","EN20121106230","100003","12","云电同方"
"10000002","EN20121106231","100001","203","远信科技"
"10000002","EN20121106232","100001","202","昆明能讯"
"10000002","EN20121106233","100001","12","云电同方"
"10000002","EN20121106234","100001","202","昆明能讯"
"10000002","EN20121106235","100001","203","远信科技"
"10000002","EN20121106236","100001","202","昆明能讯"
"10000002","EN20121106237","100001","203","远信科技"
"10000002","EN20121106238","100001","203","远信科技"
"10000003","EN20121106239","100003","19","楚雄供电局"
"10000002","EN20121106240","100001","202","昆明能讯"
"10000002","EN20121106241","100001","203","远信科技"
"10000002","EN20121106242","100001","203","远信科技"
"10000003","EN20121106243","100001","203","远信科技"
"10000002","EN20121106244","100001","203","远信科技"
"10000002","EN20121106245","100001","202","昆明能讯"
"10000003","EN20121106246","100001","203","远信科技"
"10000002","EN20121106247","100001","12","云电同方"
"10000002","EN20121106248","100001","202","昆明能讯"
"10000002","EN20121106249","100001","203","远信科技"
"10000002","EN20121106250","100001","203","远信科技"
"10000002","EN20121106251","100001","202","昆明能讯"
"10000002","EN20121106252","100001","202","昆明能讯"
"10000002","EN20121106253","100001","203","远信科技"
"10000002","EN20121106254","100001","12","云电同方"
"10000003","EN20121106255","100003","12","云电同方"
"10000002","EN20121106256","100001","203","远信科技"
"10000003","EN20121106257","100001","202","昆明能讯"
"10000002","EN20121106258","100001","203","远信科技"
"10000003","EN20121106259","100001","203","远信科技"
"10000002","EN20121106260","100001","12","云电同方"
"10000002","EN20121106261","100001","12","云电同方"
"10000002","EN20121106262","100001","202","昆明能讯"
"10000002","EN20121106263","100001","12","云电同方"
"10000002","EN20121106264","100001","203","远信科技"
"10000002","EN20121106265","100001","202","昆明能讯"
"10000002","EN20121106266","100001","12","云电同方"
"10000002","EN20121106267","100001","12","云电同方"
"10000003","EN20121106268","100005","202","昆明能讯"
"10000002","EN20121106269","100001","12","云电同方"
"10000002","EN20121106270","100001","202","昆明能讯"
"10000002","EN20121106271","100001","12","云电同方"
"10000002","EN20121106272","100001","203","远信科技"
"10000002","EN20121106273","100001","12","云电同方"
"10000003","EN20121106274","100003","12","云电同方"
"10000002","EN20121106275","100001","203","远信科技"
"10000002","EN20121106276","100001","203","远信科技"
"10000002","EN20121106277","100001","203","远信科技"
"10000002","EN20121106278","100001","203","远信科技"
"10000002","EN20121106279","100001","12","云电同方"
"10000002","EN20121106280","100001","202","昆明能讯"
"10000002","EN20121106281","100001","12","云电同方"
"10000002","EN20121106282","100001","203","远信科技"
