"SOLVEID","TRANSACTIONID","CLOSEID","ORGID","ORGNAME"
"10000002","EN20120517069","100001","203","远信科技"
"10000002","EN20120517070","100001","203","远信科技"
"10000002","EN20120517071","100001","203","远信科技"
"10000002","EN20120517072","100001","12","云电同方"
"10000003","EN20120517073","100001","203","远信科技"
"10000002","EN20120517074","100001","12","云电同方"
"10000002","EN20120517075","100001","12","云电同方"
"10000003","EN20120517076","100003","12","云电同方"
"10000002","EN20120517077","100001","12","云电同方"
"10000002","EN20120517078","100001","12","云电同方"
"10000002","EN20120517079","100001","203","远信科技"
"10000002","EN20120517080","100001","202","昆明能讯"
"10000002","EN20120517081","100001","203","远信科技"
"10000002","EN20120517082","100001","202","昆明能讯"
"10000002","EN20120517083","100001","202","昆明能讯"
"10000002","EN20120517084","100001","203","远信科技"
"10000002","EN20120517085","100001","202","昆明能讯"
"10000002","EN20120517086","100001","12","云电同方"
"10000002","EN20120517087","100001","12","云电同方"
"10000003","EN20120517088","100003","12","云电同方"
"10000002","EN20120517089","100001","203","远信科技"
"10000003","EN20120517090","100003","12","云电同方"
"10000002","EN20120517091","100001","12","云电同方"
"10000002","EN20120517092","100001","203","远信科技"
"10000002","EN20120517093","100001","12","云电同方"
"10000002","EN20120517094","100001","12","云电同方"
"10000002","EN20120517095","100001","12","云电同方"
"10000002","EN20120517096","100001","12","云电同方"
"10000002","EN20120517097","100001","12","云电同方"
"10000002","EN20120517098","100001","12","云电同方"
"10000002","EN20120517099","100001","203","远信科技"
"10000003","EN20120517100","100001","203","远信科技"
"10000002","EN20120517101","100001","203","远信科技"
"10000002","EN20120517102","100001","12","云电同方"
"10000003","EN20120517103","100001","12","云电同方"
"10000003","EN20120517104","100003","12","云电同方"
"10000002","EN20120517105","100001","12","云电同方"
"10000002","EN20120517106","100001","12","云电同方"
"10000002","EN20120517107","100001","203","远信科技"
"10000003","EN20120517108","100003","12","云电同方"
"10000002","EN20120517109","100001","203","远信科技"
"10000003","EN20120517110","100001","12","云电同方"
"10000002","EN20120517111","100001","12","云电同方"
"10000003","EN20120517112","100003","12","云电同方"
"10000003","EN20120517113","100001","203","远信科技"
"10000002","EN20120517114","100001","203","远信科技"
"10000002","EN20120517115","100001","203","远信科技"
"10000002","EN20120517116","100001","203","远信科技"
"10000003","EN20120517117","100001","203","远信科技"
"10000003","EN20120517118","100001","203","远信科技"
"10000002","EN20120517119","100001","12","云电同方"
"10000002","EN20120517120","100001","12","云电同方"
"10000002","EN20120517121","100001","12","云电同方"
"10000002","EN20120517122","100001","12","云电同方"
"10000002","EN20120517123","100001","12","云电同方"
"10000002","EN20120517124","100001","202","昆明能讯"
"10000002","EN20120517125","100001","203","远信科技"
"10000002","EN20120517126","100001","203","远信科技"
"10000002","EN20120517127","100001","203","远信科技"
"10000002","EN20120517128","100001","203","远信科技"
"10000002","EN20120517129","100001","203","远信科技"
"10000002","EN20120517130","100001","12","云电同方"
"10000002","EN20120517131","100001","203","远信科技"
"10000002","EN20120517132","100001","203","远信科技"
"10000002","EN20120517133","100001","202","昆明能讯"
"10000002","EN20120517134","100001","203","远信科技"
"10000002","EN20120517135","100001","202","昆明能讯"
"10000003","EN20120517136","100003","12","云电同方"
"10000003","EN20120517137","100001","203","远信科技"
"10000003","EN20120517138","100003","12","云电同方"
"10000003","EN20120517139","100001","12","云电同方"
"10000002","EN20120517140","100001","12","云电同方"
"10000003","EN20120517141","100003","12","云电同方"
"10000002","EN20120517142","100001","203","远信科技"
"10000003","EN20120517143","100001","203","远信科技"
"10000002","EN20120517144","100001","203","远信科技"
"10000002","EN20120517145","100001","12","云电同方"
"10000002","EN20120517146","100001","203","远信科技"
"10000003","EN20120517147","100003","12","云电同方"
"10000002","EN20120517148","100001","12","云电同方"
"10000002","EN20120517149","100001","203","远信科技"
"10000003","EN20120517150","100003","12","云电同方"
"10000002","EN20120517151","100001","203","远信科技"
"10000002","EN20120517152","100001","203","远信科技"
"10000002","EN20120517153","100001","203","远信科技"
"10000002","EN20120517154","100001","203","远信科技"
"10000002","EN20120517155","100001","203","远信科技"
"10000002","EN20120517156","100001","12","云电同方"
"10000003","EN20120517157","100003","12","云电同方"
"10000002","EN20120517158","100001","203","远信科技"
"10000002","EN20120517159","100001","12","云电同方"
"10000002","EN20120517160","100001","12","云电同方"
"10000002","EN20120517161","100001","12","云电同方"
"10000002","EN20120517162","100001","12","云电同方"
"10000002","EN20120517163","100001","12","云电同方"
"10000003","EN20120517164","100003","12","云电同方"
"10000002","EN20120517165","100001","202","昆明能讯"
"10000003","EN20120517166","100003","12","云电同方"
"10000002","EN20120517167","100001","203","远信科技"
"10000002","EN20120517168","100001","12","云电同方"
"10000002","EN20120517170","100001","12","云电同方"
"10000002","EN20120517171","100001","203","远信科技"
"10000003","EN20120517172","100003","12","云电同方"
"10000002","EN20120517174","100001","203","远信科技"
"10000002","EN20120517175","100001","203","远信科技"
"10000002","EN20120517176","100001","12","云电同方"
"10000002","EN20120517178","100001","203","远信科技"
"10000002","EN20120517179","100001","12","云电同方"
"10000002","EN20120517180","100001","203","远信科技"
"10000002","EN20120517181","100001","12","云电同方"
"10000002","EN20120517182","100001","202","昆明能讯"
"10000002","EN20120517183","100001","12","云电同方"
"10000002","EN20120517184","100001","12","云电同方"
"10000002","EN20120517185","100001","12","云电同方"
"10000002","EN20120517186","100001","203","远信科技"
"10000002","EN20120517187","100001","12","云电同方"
"10000002","EN20120517188","100001","203","远信科技"
"10000002","EN20120517189","100001","203","远信科技"
"10000003","EN20120517190","100001","203","远信科技"
"10000003","EN20120517191","100003","12","云电同方"
"10000002","EN20120517192","100001","203","远信科技"
"10000003","EN20120517193","100003","12","云电同方"
"10000002","EN20120517194","100001","203","远信科技"
"10000002","EN20120517195","100001","202","昆明能讯"
"10000003","EN20120517196","100003","12","云电同方"
"10000003","EN20120517197","100003","12","云电同方"
"10000002","EN20120517198","100001","12","云电同方"
"10000002","EN20120517199","100001","203","远信科技"
"10000003","EN20120517200","100003","12","云电同方"
"10000002","EN20120517201","100001","203","远信科技"
"10000003","EN20120517202","100003","12","云电同方"
"10000002","EN20120517203","100001","203","远信科技"
"10000003","EN20120517204","100001","12","云电同方"
"10000002","EN20120517206","100001","12","云电同方"
"10000002","EN20120517207","100001","203","远信科技"
"10000002","EN20120517208","100001","203","远信科技"
"10000002","EN20120517209","100001","202","昆明能讯"
"10000002","EN20120517210","100001","203","远信科技"
"10000002","EN20120517211","100001","12","云电同方"
"10000002","EN20120517212","100001","12","云电同方"
"10000002","EN20120517213","100001","12","云电同方"
"10000002","EN20120517214","100001","203","远信科技"
"10000002","EN20120517215","100001","12","云电同方"
"10000002","EN20120517216","100001","12","云电同方"
"10000002","EN20120517217","100001","12","云电同方"
"10000002","EN20120517218","100001","203","远信科技"
"10000002","EN20120517219","100001","12","云电同方"
"10000002","EN20120517220","100001","12","云电同方"
"10000002","EN20120517221","100001","12","云电同方"
"10000002","EN20120517222","100001","203","远信科技"
"10000002","EN20120517223","100001","203","远信科技"
"10000002","EN20120517224","100001","12","云电同方"
"10000003","EN20120517225","100003","12","云电同方"
"10000002","EN20120517226","100001","12","云电同方"
"10000002","EN20120517227","100001","12","云电同方"
"10000002","EN20120517228","100001","12","云电同方"
"10000002","EN20120517229","100001","203","远信科技"
"10000002","EN20120517230","100001","12","云电同方"
"10000003","EN20120517231","100003","12","云电同方"
"10000002","EN20120517232","100001","203","远信科技"
"10000002","EN20120517233","100001","12","云电同方"
"10000002","EN20120517234","100001","202","昆明能讯"
"10000003","EN20120517235","100003","12","云电同方"
"10000002","EN20120517236","100001","203","远信科技"
"10000003","EN20120517237","100001","203","远信科技"
"10000002","EN20120517238","100001","12","云电同方"
"10000002","EN20120517239","100001","202","昆明能讯"
"10000002","EN20120517240","100001","203","远信科技"
"10000002","EN20120517241","100001","12","云电同方"
"10000002","EN20120517242","100001","12","云电同方"
"10000002","EN20120517243","100001","203","远信科技"
"10000002","EN20120517244","100001","203","远信科技"
"10000003","EN20120517245","100001","203","远信科技"
"10000002","EN20120517246","100001","12","云电同方"
"10000003","EN20120517247","100003","12","云电同方"
"10000003","EN20120517248","100003","12","云电同方"
"10000003","EN20120517249","100003","12","云电同方"
"10000002","EN20120517250","100001","12","云电同方"
"10000003","EN20120517251","100001","203","远信科技"
"10000002","EN20120517252","100001","203","远信科技"
"10000003","EN20120517253","100001","12","云电同方"
"10000002","EN20120517254","100001","12","云电同方"
"10000002","EN20120517255","100001","203","远信科技"
"10000003","EN20120517256","100003","12","云电同方"
"10000002","EN20120517257","100001","202","昆明能讯"
"10000002","EN20120517258","100001","203","远信科技"
"10000003","EN20120517259","100001","203","远信科技"
"10000003","EN20120517260","100001","203","远信科技"
"10000002","EN20120517261","100001","12","云电同方"
"10000003","EN20120517262","100001","203","远信科技"
"10000003","EN20120517263","100001","203","远信科技"
"10000002","EN20120517264","100001","12","云电同方"
"10000003","EN20120517265","100001","203","远信科技"
"10000003","EN20120517266","100001","203","远信科技"
"10000003","EN20120517267","100003","12","云电同方"
"10000002","EN20120517268","100001","12","云电同方"
"10000003","EN20120517269","100003","12","云电同方"
"10000002","EN20120517270","100001","12","云电同方"
"10000002","EN20120517271","100001","203","远信科技"
"10000002","EN20120518001","100001","12","云电同方"
"10000002","EN20120518002","100001","12","云电同方"
"10000003","EN20120518004","100001","203","远信科技"
"10000002","EN20120518005","100001","203","远信科技"
"10000003","EN20120518006","100001","203","远信科技"
"10000003","EN20120518007","100001","203","远信科技"
"10000003","EN20120518008","100001","203","远信科技"
"10000002","EN20120518009","100001","203","远信科技"
"10000002","EN20120518010","100001","12","云电同方"
"10000002","EN20120518011","100001","12","云电同方"
"10000002","EN20120518012","100001","203","远信科技"
"10000002","EN20120518013","100001","203","远信科技"
"10000002","EN20120518014","100001","12","云电同方"
"10000002","EN20120518015","100001","203","远信科技"
"10000002","EN20120518016","100001","203","远信科技"
"10000002","EN20120518017","100001","203","远信科技"
"10000002","EN20120518018","100001","203","远信科技"
"10000002","EN20120518019","100001","203","远信科技"
"10000002","EN20120518020","100001","12","云电同方"
"10000002","EN20120518021","100001","203","远信科技"
"10000002","EN20120518022","100001","12","云电同方"
"10000002","EN20120518023","100001","12","云电同方"
"10000002","EN20120518024","100001","203","远信科技"
"10000002","EN20120518025","100001","12","云电同方"
"10000002","EN20120518026","100001","203","远信科技"
"10000002","EN20120518027","100001","12","云电同方"
"10000002","EN20120518028","100001","203","远信科技"
"10000003","EN20120518029","100001","203","远信科技"
"10000003","EN20120518030","100001","203","远信科技"
"10000002","EN20120518031","100001","203","远信科技"
"10000002","EN20120518032","100001","203","远信科技"
"10000002","EN20120518033","100001","203","远信科技"
"10000002","EN20120518034","100001","12","云电同方"
"10000002","EN20120518035","100001","203","远信科技"
"10000002","EN20120518036","100001","202","昆明能讯"
"10000003","EN20120518037","100003","12","云电同方"
"10000002","EN20120518038","100001","203","远信科技"
"10000002","EN20120518039","100001","203","远信科技"
"10000002","EN20120518040","100001","203","远信科技"
"10000003","EN20120518041","100001","203","远信科技"
"10000002","EN20120518042","100001","203","远信科技"
"10000002","EN20120518043","100001","12","云电同方"
"10000002","EN20120518044","100001","12","云电同方"
"10000002","EN20120518045","100001","12","云电同方"
"10000002","EN20120518046","100001","12","云电同方"
"10000003","EN20120518047","100003","12","云电同方"
"10000002","EN20120518048","100001","12","云电同方"
"10000003","EN20120518049","100001","203","远信科技"
"10000002","EN20120518050","100001","202","昆明能讯"
"10000002","EN20120518051","100001","203","远信科技"
"10000002","EN20120518052","100001","202","昆明能讯"
"10000003","EN20120518053","100001","203","远信科技"
"10000003","EN20120518054","100003","12","云电同方"
"10000003","EN20120518055","100001","203","远信科技"
"10000002","EN20120518056","100001","12","云电同方"
"10000002","EN20120518057","100001","12","云电同方"
"10000002","EN20120518058","100001","12","云电同方"
"10000002","EN20120518059","100001","203","远信科技"
"10000002","EN20120518060","100001","202","昆明能讯"
"10000002","EN20120518061","100001","203","远信科技"
"10000003","EN20120518062","100001","203","远信科技"
"10000002","EN20120518063","100001","12","云电同方"
"10000002","EN20120518064","100001","12","云电同方"
"10000003","EN20120518065","100003","12","云电同方"
"10000003","EN20120518066","100001","203","远信科技"
"10000003","EN20120518067","100003","12","云电同方"
"10000002","EN20120518068","100001","203","远信科技"
"10000002","EN20120518069","100001","12","云电同方"
"10000002","EN20120518070","100001","203","远信科技"
"10000003","EN20120518071","100003","12","云电同方"
"10000002","EN20120518072","100001","202","昆明能讯"
"10000003","EN20120518073","100001","203","远信科技"
"10000002","EN20120518074","100001","12","云电同方"
"10000003","EN20120518075","100001","203","远信科技"
"10000002","EN20120518076","100001","202","昆明能讯"
"10000003","EN20120518077","100003","12","云电同方"
"10000002","EN20120518078","100001","203","远信科技"
"10000002","EN20120518079","100001","203","远信科技"
"10000002","EN20120518080","100001","12","云电同方"
"10000002","EN20120518081","100001","12","云电同方"
"10000002","EN20120518082","100001","12","云电同方"
"10000002","EN20120518083","100001","203","远信科技"
"10000002","EN20120518084","100001","203","远信科技"
"10000003","EN20120518085","100003","12","云电同方"
"10000002","EN20120518086","100001","203","远信科技"
"10000003","EN20120518087","100003","12","云电同方"
"10000002","EN20120518088","100001","202","昆明能讯"
"10000003","EN20120518089","100003","12","云电同方"
"10000002","EN20120518090","100001","12","云电同方"
"10000002","EN20120518091","100001","203","远信科技"
"10000002","EN20120518092","100001","12","云电同方"
"10000002","EN20120518093","100001","203","远信科技"
"10000002","EN20120518094","100001","203","远信科技"
"10000002","EN20120518095","100001","203","远信科技"
"10000002","EN20120518096","100001","12","云电同方"
"10000002","EN20120518097","100001","12","云电同方"
"10000003","EN20120518098","100003","12","云电同方"
"10000002","EN20120518099","100001","203","远信科技"
"10000002","EN20120518100","100001","12","云电同方"
"10000002","EN20120518101","100001","202","昆明能讯"
"10000002","EN20120518102","100001","203","远信科技"
"10000002","EN20120518103","100001","202","昆明能讯"
"10000002","EN20120518104","100001","202","昆明能讯"
"10000002","EN20120518105","100001","202","昆明能讯"
"10000003","EN20120518106","100003","12","云电同方"
"10000002","EN20120518107","100001","203","远信科技"
"10000003","EN20120518108","100003","12","云电同方"
"10000003","EN20120518109","100001","203","远信科技"
"10000002","EN20120518110","100001","202","昆明能讯"
"10000002","EN20120518111","100001","12","云电同方"
"10000003","EN20120518112","100003","12","云电同方"
"10000003","EN20120518113","100003","12","云电同方"
"10000002","EN20120518114","100001","203","远信科技"
"10000002","EN20120518115","100001","202","昆明能讯"
"10000002","EN20120518116","100001","203","远信科技"
"10000002","EN20120518117","100001","202","昆明能讯"
"10000002","EN20120518118","100001","203","远信科技"
"10000002","EN20120518119","100001","202","昆明能讯"
"10000002","EN20120518120","100001","12","云电同方"
"10000002","EN20120518121","100001","12","云电同方"
"10000002","EN20120518122","100001","12","云电同方"
"10000003","EN20120518123","100003","12","云电同方"
"10000003","EN20120518124","100003","12","云电同方"
"10000002","EN20120518125","100001","12","云电同方"
"10000002","EN20120518126","100001","12","云电同方"
"10000002","EN20120518127","100001","203","远信科技"
"10000002","EN20120518128","100001","203","远信科技"
"10000003","EN20120518129","100001","203","远信科技"
"10000002","EN20120518130","100001","12","云电同方"
"10000003","EN20120518131","100001","203","远信科技"
"10000002","EN20120518132","100001","12","云电同方"
"10000002","EN20120518133","100001","203","远信科技"
"10000002","EN20120518134","100001","203","远信科技"
"10000002","EN20120518135","100001","203","远信科技"
"10000002","EN20120518136","100001","203","远信科技"
"10000002","EN20120518137","100001","203","远信科技"
"10000002","EN20120518138","100001","203","远信科技"
"10000003","EN20120518139","100001","203","远信科技"
"10000002","EN20120518140","100001","203","远信科技"
"10000002","EN20120518141","100001","12","云电同方"
"10000003","EN20120518142","100003","12","云电同方"
"10000002","EN20120518143","100001","12","云电同方"
"10000002","EN20120518145","100003","202","昆明能讯"
"10000002","EN20120518146","100001","203","远信科技"
"10000002","EN20120518147","100001","202","昆明能讯"
"10000002","EN20120518148","100001","202","昆明能讯"
"10000002","EN20120518149","100001","203","远信科技"
"10000002","EN20120518150","100001","203","远信科技"
"10000002","EN20120518151","100001","203","远信科技"
"10000003","EN20120518152","100001","203","远信科技"
"10000002","EN20120518153","100001","12","云电同方"
"10000002","EN20120518154","100001","202","昆明能讯"
"10000003","EN20120518155","100001","203","远信科技"
"10000002","EN20120518156","100001","12","云电同方"
"10000002","EN20120518157","100001","203","远信科技"
"10000002","EN20120518158","100001","12","云电同方"
"10000002","EN20120518159","100001","12","云电同方"
"10000002","EN20120518160","100001","12","云电同方"
"10000003","EN20120518161","100001","203","远信科技"
"10000002","EN20120518162","100001","12","云电同方"
"10000002","EN20120518163","100001","202","昆明能讯"
"10000002","EN20120518164","100001","12","云电同方"
"10000002","EN20120518165","100001","203","远信科技"
"10000003","EN20120518166","100003","12","云电同方"
"10000002","EN20120518167","100001","12","云电同方"
"10000002","EN20120518168","100001","12","云电同方"
