"SOLVEID","TRANSACTIONID","CLOSEID","ORGID","ORGNAME"
"10000002","EN20120702194","100001","203","远信科技"
"10000003","EN20120702195","100003","12","云电同方"
"10000002","EN20120702196","100001","203","远信科技"
"10000002","EN20120702197","100001","12","云电同方"
"10000002","EN20120702198","100001","12","云电同方"
"10000002","EN20120702199","100001","203","远信科技"
"10000003","EN20120702200","100001","203","远信科技"
"10000002","EN20120702201","100001","202","昆明能讯"
"10000002","EN20120702202","100001","12","云电同方"
"10000002","EN20120702203","100001","203","远信科技"
"10000003","EN20120702204","100003","12","云电同方"
"10000002","EN20120702205","100001","202","昆明能讯"
"10000003","EN20120702206","100001","203","远信科技"
"10000002","EN20120702207","100001","203","远信科技"
"10000002","EN20120702208","100001","12","云电同方"
"10000002","EN20120702209","100001","203","远信科技"
"10000002","EN20120702210","100001","203","远信科技"
"10000002","EN20120702211","100001","203","远信科技"
"10000002","EN20120702212","100001","12","云电同方"
"10000002","EN20120702213","100001","202","昆明能讯"
"10000002","EN20120702214","100001","203","远信科技"
"10000002","EN20120702215","100001","202","昆明能讯"
"10000003","EN20120702216","100001","203","远信科技"
"10000002","EN20120702217","100001","202","昆明能讯"
"10000002","EN20120702218","100001","203","远信科技"
"10000003","EN20120702219","100003","12","云电同方"
"10000003","EN20120702221","100003","12","云电同方"
"10000002","EN20120702222","100001","203","远信科技"
"10000002","EN20120702223","100001","203","远信科技"
"10000002","EN20120702224","100001","202","昆明能讯"
"10000002","EN20120702225","100001","202","昆明能讯"
"10000003","EN20120702226","100001","203","远信科技"
"10000003","EN20120702227","100001","203","远信科技"
"10000003","EN20120702228","100001","203","远信科技"
"10000002","EN20120702229","100001","203","远信科技"
"10000003","EN20120702231","100001","202","昆明能讯"
"10000002","EN20120702232","100001","12","云电同方"
"10000002","EN20120702233","100001","203","远信科技"
"10000003","EN20120702234","100001","203","远信科技"
"10000003","EN20120702235","100001","12","云电同方"
"10000002","EN20120702236","100001","203","远信科技"
"10000002","EN20120702237","100001","203","远信科技"
"10000002","EN20120702238","100001","12","云电同方"
"10000002","EN20120702239","100001","12","云电同方"
"10000002","EN20120702240","100001","202","昆明能讯"
"10000002","EN20120702241","100001","203","远信科技"
"10000002","EN20120702242","100001","203","远信科技"
"10000002","EN20120702243","100001","203","远信科技"
"10000002","EN20120702244","100001","203","远信科技"
"10000002","EN20120702245","100001","202","昆明能讯"
"10000003","EN20120702247","100001","203","远信科技"
"10000002","EN20120702248","100001","12","云电同方"
"10000002","EN20120702249","100001","202","昆明能讯"
"10000002","EN20120702250","100001","12","云电同方"
"10000002","EN20120702251","100001","203","远信科技"
"10000003","EN20120702252","100001","202","昆明能讯"
"10000003","EN20120702253","100003","12","云电同方"
